,PercentCoverage,TotalCollects,AgilityMetric,WeightedSunAngle,NumberDownlinkOppurtunities,CrossLinkCommAvailability,GenericDynamicMetric
Value 23,77.50558607991078,408,2.5229347071620913,39.89046628276824,17.041680806174405,2407.501515082406,4.181089431115979
Value 24,71.66111081385706,400,2.7915622061971384,96.001473151653,12.47239023311424,1574.2875018918094,1.9121981193860855
Value 25,80.74251994883964,397,2.1479270868784686,86.83493859972529,17.544765015008863,1037.7640786690047,3.609131765456881
Value 26,81.55860399734689,394,1.9739577674659918,132.67088040158953,21.649702253701218,2759.3004060580215,2.696885264557593
Value 27,69.89213507074493,396,3.398010043614227,108.33465716681549,9.836200284325601,272.2341892025616,1.8555213481578214
Value 28,100.0,398,1.2269612055333665,153.0009261707741,60.66032037872567,678.9854367596646,9.019732773450892
Value 29,73.21173387460686,414,2.90564997927497,30.779889733766264,11.616010597318654,1071.5031860472761,2.370909681309579
Value 30,100.0,400,1.5947245482468062,117.33454532356735,41.36454195713544,2631.580824253356,4.394630851592191
Value 31,100.0,408,1.7457371111891524,49.3346272372852,29.55741906417865,752.7137007993662,3.251688963253605
Value 32,100.0,414,1.6307197553167865,86.66835378993213,31.722162858255558,2105.525051635164,16.884638346607026
Value 33,75.93042100019045,379,2.676746669561625,143.33722729839346,14.395694055520877,1636.8798350696247,2.299171342516764
Value 34,88.60268310782695,390,2.4060987118513517,61.223244329754955,19.294736268907606,2736.2982612534315,2.368658347689662
Value 35,80.66153841846193,414,3.2075445543024594,51.89015868488519,11.673453714586461,1297.1956190410838,2.7515060248913312
Value 36,87.37919406278924,382,1.9965323470148115,124.501128004367,23.403472570584878,1613.7228745044729,4.027081721139476
Value 37,100.0,389,1.6434701508186673,67.22316934182003,30.480111126393343,2398.379780840402,6.616512767872821
Value 38,94.33270999909784,410,1.9949240749713664,198.00297355688383,18.94822280087571,3153.8586749182496,3.067935736104205
Value 39,100.0,402,1.6069256481929979,190.3363658438461,44.516985720673496,2260.0585772682184,9.903729290153688
Value 40,71.180124587814,380,2.99764906335243,47.00129827869083,13.578260171554266,578.7810426075182,2.055637859333166
Value 41,69.69050381736353,395,3.412790637436668,160.00346859154456,13.739170004796014,1262.2735772432422,1.949066431166858
Value 42,66.34227101919959,401,3.4349940747258874,44.50314550408206,11.878899309829713,1060.9813316821314,1.7596743561559196
Value 43,85.86299886382608,393,2.965139714098428,114.0012571700599,17.65073100343139,1872.3483705302885,2.4335412085522035
Value 44,99.16043549868367,423,1.7177071883100474,82.00708387821653,28.537018613862152,3507.9926402526366,3.667065490252306
Value 45,74.40712998928481,399,2.6753484874317564,59.33577683458794,10.317196301387687,1383.7446020709697,4.262046429834462
Value 46,74.0483391943147,405,3.751613723174854,142.67077462486182,10.10083001119414,1038.426438969822,1.8723012449684466
Value 47,100.0,411,1.2605958675365607,47.668014642840035,129.99304064843105,9964.829081021528,5.246110333005062
Value 48,98.36696851209085,398,2.1618078090374095,190.66968003350897,23.399372041786865,3193.93184883169,3.1180787962272265
Value 49,75.52553775883901,416,2.762916882423146,38.50373662226653,14.385014114123543,291.4042319471751,1.84434435340978
Value 50,71.03156060497746,391,2.766812650168189,110.55612642873297,10.716233135451171,454.39380942779496,3.0309925140319014
Value 51,87.17623532250158,379,1.5969772040541994,49.77899480222061,26.588981994383275,2873.472766864468,4.023673864129541
Value 52,100.0,390,1.6096594575032068,82.00076478523019,54.64907234549793,1822.9806343374264,7.471921421786372
Value 53,100.0,399,1.6466766595910418,65.66762764420966,61.88818970091648,6318.898879959308,4.6232074580441145
Value 54,91.02714273877696,386,1.5726847024731132,44.44581181914551,30.35134094624762,6320.28786690949,3.6545851105797227
Value 55,76.67174833720561,408,2.4776897026001143,86.66833856360685,12.875839714625503,438.41145648358616,2.1718264205001607
Value 56,98.50814814228244,415,1.7692359351042712,103.33475776388013,27.56824690576582,2954.0318555721433,3.662014061582784
Value 57,80.49974438616309,406,2.829785854880834,300.0018828553158,18.997976061370412,825.5439062975933,2.32340757289644
Value 58,100.0,397,1.9311162634608354,58.66910775766035,41.91899305965806,1944.9219467953808,4.516236193860434
